DATE,STORE_NBR,LYLTY_CARD_NBR,TXN_ID,PROD_NBR,PROD_NAME,PROD_QTY,TOT_SALES,PACK_SIZE,BRAND,LIFESTAGE,PREMIUM_CUSTOMER
2018-08-16,83,83186,83162,4,Dorito Corn Chp     Supreme 380g,2,6.5,380,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,84,84096,83673,47,Doritos Corn Chips  Original 170g,1,4.4,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,88,88320,87811,113,Twisties Chicken270g,2,9.2,270,Twisties,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,94,94077,92932,71,Twisties Cheese     Burger 250g,1,4.3,250,Twisties,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,96,96203,96025,7,Smiths Crinkle      Original 330g,5,28.5,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,97,97033,96478,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1,3.8,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,101,101170,101017,12,Natural Chip Co     Tmato Hrb&Spce 175g,1,3.0,175,Natural,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,102,102115,102209,36,Kettle Chilli 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,104,104187,104862,71,Twisties Cheese     Burger 250g,1,4.3,250,Twisties,MIDAGE SINGLES/COUPLES,Budget
2018-08-14,106,106050,107052,42,Doritos Corn Chip Mexican Jalapeno 150g,1,3.9,150,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-08-16,106,106147,107633,89,Kettle Sweet Chilli And Sour Cream 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,109,109028,110346,8,Smiths Crinkle Cut  Chips Original 170g,1,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,109,109028,110347,75,Cobs Popd Sea Salt  Chips 110g,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-05-14,110,110013,111797,100,Smiths Crinkle Cut  Chips Chs&Onion170g,1,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,111,111487,113669,107,Smiths Crinkle Cut  French OnionDip 150g,1,2.6,150,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,112,112046,113969,89,Kettle Sweet Chilli And Sour Cream 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-18,114,114185,118043,24,Grain Waves         Sweet Chilli 210g,1,3.6,210,Grain,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,115,115381,118981,29,French Fries Potato Chips 175g,1,3.0,175,French,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,118,118007,120727,30,Doritos Corn Chips  Cheese Supreme 170g,1,4.4,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,119,119051,122366,81,Pringles Original   Crisps 134g,1,3.7,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,119,119057,122403,36,Kettle Chilli 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,119,119282,123246,46,Kettle Original 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-18,120,120226,123743,67,RRD Chilli&         Coconut 150g,1,2.7,150,RRD,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,122,122113,125310,42,Doritos Corn Chip Mexican Jalapeno 150g,1,3.9,150,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,122,122185,125736,110,WW Original Corn    Chips 200g,2,3.8,200,Woolworths,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,125,125251,129302,36,Kettle Chilli 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-14,128,128148,131503,51,Doritos Mexicana    170g,1,4.4,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-08-16,128,128231,132121,28,Thins Potato Chips  Hot & Spicy 175g,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,128,128231,132122,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1,3.8,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,129,129134,133032,92,WW Crinkle Cut      Chicken 175g,2,3.4,175,Woolworths,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,130,130108,134125,2,Cobs Popd Sour Crm  &Chives Chips 110g,5,19.0,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-05-14,130,130356,135147,14,Smiths Crnkle Chip  Orgnl Big Bag 380g,2,11.8,380,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,133,133250,137666,30,Doritos Corn Chips  Cheese Supreme 170g,4,17.6,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,149,149225,148901,77,Doritos Corn Chips  Nacho Cheese 170g,1,4.4,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,149,149317,149044,15,Twisties Cheese     270g,1,4.6,270,Twisties,MIDAGE SINGLES/COUPLES,Budget
2018-08-15,151,151325,150030,17,Kettle Sensations   BBQ&Maple 150g,1,4.6,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,151,151427,150128,46,Kettle Original 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,152,152042,150473,69,Smiths Chip Thinly  S/Cream&Onion 175g,3,9.0,175,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,152,152117,150988,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1,3.8,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,153,153106,152359,30,Doritos Corn Chips  Cheese Supreme 170g,3,13.2,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-08-15,153,153220,152829,113,Twisties Chicken270g,2,9.2,270,Twisties,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,156,156236,158227,83,WW D/Style Chip     Sea Salt 200g,1,1.9,200,Woolworths,MIDAGE SINGLES/COUPLES,Budget
2019-05-18,156,156236,158228,110,WW Original Corn    Chips 200g,2,3.8,200,Woolworths,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,157,157123,159188,68,Pringles Chicken    Salt Crips 134g,1,3.7,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,160,160136,160968,82,Smith Crinkle Cut   Mac N Cheese 150g,5,13.0,150,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-15,160,160153,161091,70,Tyrrells Crisps     Lightly Salted 165g,1,4.2,165,Tyrrells,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,161,161280,161813,45,Smiths Thinly Cut   Roast Chicken 175g,1,3.0,175,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,164,164183,164919,67,RRD Chilli&         Coconut 150g,1,2.7,150,RRD,MIDAGE SINGLES/COUPLES,Budget
2018-08-15,166,166235,168185,44,Thins Chips Light&  Tangy 175g,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-15,166,166251,168260,104,Infuzions Thai SweetChili PotatoMix 110g,1,3.8,110,Infuzions,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,166,166261,168302,42,Doritos Corn Chip Mexican Jalapeno 150g,2,7.8,150,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-18,167,167405,169222,96,WW Original Stacked Chips 160g,2,3.8,160,Woolworths,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,168,168213,170687,93,Doritos Corn Chip Southern Chicken 150g,2,7.8,150,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,168,168219,170719,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,4,15.2,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,169,169267,171363,61,Smiths Crinkle Cut  Chips Chicken 170g,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,172,172006,172766,32,Kettle Sea Salt     And Vinegar 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,172,172068,173162,79,Smiths Chip Thinly  CutSalt/Vinegr175g,1,3.0,175,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,172,172068,173166,23,Cheezels Cheese 330g,2,11.4,330,Cheezels,MIDAGE SINGLES/COUPLES,Budget
2018-08-15,173,173154,174550,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,173,173154,174551,15,Twisties Cheese     270g,1,4.6,270,Twisties,MIDAGE SINGLES/COUPLES,Budget
2018-08-14,178,178036,177775,50,Tostitos Lightly    Salted 175g,1,4.4,175,Tostitos,MIDAGE SINGLES/COUPLES,Budget
2019-05-18,178,178093,178134,114,Kettle Sensations   Siracha Lime 150g,2,9.2,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,181,181265,183665,44,Thins Chips Light&  Tangy 175g,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-16,184,184229,187762,42,Doritos Corn Chip Mexican Jalapeno 150g,1,3.9,150,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-14,186,186188,188585,78,Thins Chips Salt &  Vinegar 175g,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,186,186401,188768,1,Smiths Crinkle Cut  Chips Barbecue 170g,5,14.5,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,187,187144,189046,32,Kettle Sea Salt     And Vinegar 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,191,191094,192335,86,Cheetos Puffs 165g,2,5.6,165,Cheetos,MIDAGE SINGLES/COUPLES,Budget
2018-08-16,191,191200,192940,53,RRD Sweet Chilli &  Sour Cream 165g,1,3.0,165,RRD,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,191,191200,192945,36,Kettle Chilli 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,194,194066,193560,36,Kettle Chilli 175g,2,10.8,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,194,194161,193938,93,Doritos Corn Chip Southern Chicken 150g,1,3.9,150,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-08-14,196,196121,196172,100,Smiths Crinkle Cut  Chips Chs&Onion170g,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,197,197172,197097,72,WW Crinkle Cut      Original 175g,1,1.7,175,Woolworths,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,200,200162,199522,114,Kettle Sensations   Siracha Lime 150g,1,4.6,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-16,205,205151,204218,74,Tostitos Splash Of  Lime 175g,1,4.4,175,Tostitos,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,205,205151,204219,82,Smith Crinkle Cut   Mac N Cheese 150g,3,7.8,150,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,207,207007,204633,107,Smiths Crinkle Cut  French OnionDip 150g,4,10.4,150,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,207,207091,205119,44,Thins Chips Light&  Tangy 175g,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,207,207182,205682,7,Smiths Crinkle      Original 330g,2,11.4,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,208,208081,206568,61,Smiths Crinkle Cut  Chips Chicken 170g,1,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,208,208139,206906,63,Kettle 135g Swt Pot Sea Salt,1,4.2,135,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,209,209180,208512,54,CCs Original 175g,1,2.1,175,CCs,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,212,212194,211539,25,Pringles SourCream  Onion 134g,1,3.7,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
2019-05-18,212,212201,211570,81,Pringles Original   Crisps 134g,1,3.7,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
2019-05-14,212,212203,211586,4,Dorito Corn Chp     Supreme 380g,1,3.25,380,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,215,215129,214343,17,Kettle Sensations   BBQ&Maple 150g,1,4.6,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,216,216104,215132,9,Kettle Tortilla ChpsBtroot&Ricotta 150g,1,4.6,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,217,217168,217061,113,Twisties Chicken270g,1,4.6,270,Twisties,MIDAGE SINGLES/COUPLES,Budget
2019-05-18,219,219065,218396,15,Twisties Cheese     270g,1,4.6,270,Twisties,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,222,222079,221942,71,Twisties Cheese     Burger 250g,1,4.3,250,Twisties,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,222,222209,222689,91,CCs Tasty Cheese    175g,1,2.1,175,CCs,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,222,222209,222693,40,Thins Chips Seasonedchicken 175g,5,16.5,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,223,223062,223280,105,Woolworths Cheese   Rings 190g,1,1.8,190,Woolworths,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,223,223130,223702,82,Smith Crinkle Cut   Mac N Cheese 150g,1,2.6,150,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-14,225,225242,226134,22,Thins Chips         Originl saltd 175g,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,226,226133,226926,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,1,4.6,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,227,227220,229580,25,Pringles SourCream  Onion 134g,1,3.7,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
2018-08-14,235,235158,238107,90,Tostitos Smoked     Chipotle 175g,1,4.4,175,Tostitos,MIDAGE SINGLES/COUPLES,Budget
2018-08-16,236,236216,239853,36,Kettle Chilli 175g,2,10.8,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,236,236247,240056,92,WW Crinkle Cut      Chicken 175g,1,1.7,175,Woolworths,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,237,237227,241132,63,Kettle 135g Swt Pot Sea Salt,2,8.4,135,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-16,237,237293,241451,31,Infzns Crn Crnchers Tangy Gcamole 110g,1,3.8,110,Infuzions,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,241,241222,245795,82,Smith Crinkle Cut   Mac N Cheese 150g,2,5.2,150,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,243,243070,246706,63,Kettle 135g Swt Pot Sea Salt,1,4.2,135,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-18,246,246078,248026,109,Pringles Barbeque   134g,1,3.7,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,246,246266,248373,31,Infzns Crn Crnchers Tangy Gcamole 110g,1,3.8,110,Infuzions,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,247,247223,250007,24,Grain Waves         Sweet Chilli 210g,1,3.6,210,Grain,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,248,248409,250717,27,WW Supreme Cheese   Corn Chips 200g,3,5.7,200,Woolworths,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,250,250314,252753,68,Pringles Chicken    Salt Crips 134g,1,3.7,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,253,253032,253575,47,Doritos Corn Chips  Original 170g,1,4.4,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,253,253295,253972,47,Doritos Corn Chips  Original 170g,3,13.2,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-18,255,255206,254774,81,Pringles Original   Crisps 134g,1,3.7,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,256,256041,255158,94,Burger Rings 220g,2,4.6,220,Burger,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,257,257121,256483,14,Smiths Crnkle Chip  Orgnl Big Bag 380g,1,5.9,380,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,257,257258,257308,114,Kettle Sensations   Siracha Lime 150g,4,18.4,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,262,262034,261509,62,Pringles Mystery    Flavour 134g,1,3.7,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,262,262126,262025,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,4,18.4,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,262,262237,262645,77,Doritos Corn Chips  Nacho Cheese 170g,2,8.8,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,265,265087,263394,70,Tyrrells Crisps     Lightly Salted 165g,1,4.2,165,Tyrrells,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,265,265282,263626,100,Smiths Crinkle Cut  Chips Chs&Onion170g,1,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-14,266,266376,264212,109,Pringles Barbeque   134g,1,3.7,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
2018-08-16,269,269153,265956,45,Smiths Thinly Cut   Roast Chicken 175g,1,3.0,175,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,269,269175,266095,4,Dorito Corn Chp     Supreme 380g,2,6.5,380,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,269,269221,266380,62,Pringles Mystery    Flavour 134g,5,18.5,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,271,271017,268321,112,Tyrrells Crisps     Ched & Chives 165g,1,4.2,165,Tyrrells,MIDAGE SINGLES/COUPLES,Budget
2019-06-17,77,77069,74987,70,Tyrrells Crisps     Lightly Salted 165g,2,8.4,165,Tyrrells,MIDAGE SINGLES/COUPLES,Budget
2018-09-05,1,1052,57,44,Thins Chips Light&  Tangy 175g,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-09-27,1,1081,92,17,Kettle Sensations   BBQ&Maple 150g,1,4.6,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-02-27,1,1081,93,96,WW Original Stacked Chips 160g,2,3.8,160,Woolworths,MIDAGE SINGLES/COUPLES,Budget
